#datatype measurement,tag,tag,double,dateTime
operation,ISIN,user,shares,time
buy,LU0996180864,fer,2.056,1590364800
buy,LU0996177134,fer,2.752,1590451200
buy,LU0996179007,fer,8.107,1590451200
buy,LU1050469367,fer,2.239,1590451200
buy,LU1050470373,fer,6.257,1590451200
buy,LU0389811885,fer,5.787,1590537600
buy,LU0390717543,fer,0.945,1590624000
buy,LU0625738058,fer,0.3848,1590624000
buy,LU0996177134,fer,2.348,1591574400
buy,LU0389811885,fer,0.259,1593734400
buy,LU1050469367,fer,0.684,1593734400
buy,LU0996177134,fer,0.231,1593993600
buy,LU0389812933,fer,1.261,1594080000
buy,LU0389811885,fer,0.387,1596412800
buy,LU0996179007,fer,0.558,1596412800
buy,LU1050469367,fer,0.314,1596412800
buy,LU0389812933,fer,0.048,1596499200
buy,LU0390717543,fer,0.089,1596499200
buy,LU0625738058,fer,0.3283,1596499200
buy,LU0389811885,fer,0.167,1596758400
buy,LU0996179007,fer,0.221,1596758400
buy,LU1050469367,fer,0.134,1596758400
buy,LU0390717543,fer,0.039,1597017600
buy,LU0625738058,fer,0.10301,1597017600
buy,LU0996177134,fer,0.196,1597017600
buy,LU0389812933,fer,0.036,1597104000
buy,LU0389811885,fer,0.32,1599091200
buy,LU0389811885,fer,0.174,1599091260
buy,LU0996179007,fer,0.215,1599091200
buy,LU1050469367,fer,0.211,1599091200
buy,LU1050469367,fer,0.103,1599091260
buy,LU0389812933,fer,0.261,1599177600
buy,LU0390717543,fer,0.052,1599177600
buy,LU0625738058,fer,0.259,1599177600
buy,LU0625738058,fer,0.1619,1599177660
buy,LU0996177134,fer,0.281,1599177600
buy,LU0996177134,fer,0.151,1599177660
buy,LU1050469367,fer,0.155,1601596800
buy,LU0389811885,fer,0.371,1601856000
buy,LU0996179007,fer,0.538,1601856000
buy,LU0390717543,fer,0.084,1601942400
buy,LU0625738058,fer,0.4873,1601942400
buy,LU0996177134,fer,0.33,1601942400
buy,LU0389811885,fer,0.754,1604275200
buy,LU0996179007,fer,0.668,1604275200
buy,LU1050469367,fer,0.196,1604275200
buy,LU0390717543,fer,0.081,1604361600
buy,LU0625738058,fer,0.1745,1604361600
